YearCount,Year,Title,Author,Format,Date Finished,Year Published,Goodreads Rating,Reread
1,2022,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,Audiobook,2/4/2022,2018,3,
2,2022,Bubble,Jordan Morris,Graphic Novel,2/21/2022,2021,,
3,2022,Spoiler Alert,Olivia Dade,Audiobook,3/9/2022,2020,3,
4,2022,The Adventure Zone Vol 4: Crystal Kingdom,The McElroy Family,Graphic Novel,3/19/2022,2021,,
5,2022,The Mystery of the Meanest Teacher,Ryan North,Graphic Novel,4/1/2022,2021,,
6,2022,This Is How You Lose The Time War,Amal El-Mohtar,Audiobook,4/4/2022,2019,3,
7,2022,Maison Ikkoku Signature Edition Vol 1,Rumiko Takahashi,Graphic Novel,4/11/2022,1986,,
8,2022,Educated,Tara Westover,Audiobook,5/12/2022,2018,5,
9,2022,Daisy Jones and the Six,Taylor Jenkins Reid,Audiobook,5/15/2022,2019,5,
10,2022,Disrupting the Game,Reggie Fils-Aime,Audiobook,5/22/2022,2022,,
11,2022,The Space Between Worlds,Micaiah Johnson,Audiobook,6/1/2022,2020,4,
12,2022,Maison Ikkoku Signature Edition Vol 2,Rumiko Takahashi,Graphic Novel,6/19/2022,1986,,
13,2022,Batman Year One,Frank Miller,Graphic Novel,6/23/2022,1988,,
14,2022,Life is Strange Volume 1: Dust,Emma Vieceli,Graphic Novel,6/26/2022,2018,,
15,2022,Project Hail Mary,Andy Weir,Audiobook,8/5/2022,2021,5,
16,2022,Life is Strange Volume 2: Waves,Emma Vieceli,Graphic Novel,8/13/2022,2019,,
17,2022,People We Meet On Vacation,Emily Henry,Audiobook,8/13/2022,2021,4,
18,2022,Book Lovers,Emily Henry,Audiobook,8/23/2022,2022,4,
19,2022,Beach Read,Emily Henry,Audiobook,10/8/2022,2020,4,
20,2022,Flying Solo,Linda Holmes,Audiobook,10/24/2022,2022,5,
21,2022,Locke & Key Vol 1: Welcome to Lovecraft,Joe Hill,Graphic Novel,11/6/2022,2008,,
22,2022,The Girl With All The Gifts,M. R. Carey,Audiobook,11/7/2022,2014,4,
23,2022,Scott Pilgrim Full Color Vol 1,Bryan Lee O'Mallry,Graphic Novel ,11/13/2022,2004,,
24,2022,Scott Pilgrim Full Color Vol 2,Bryan Lee O'Mallry,Graphic Novel,11/23/2022,2006,,
25,2022,Scott Pilgrim Full Color Vol 3,Bryan Lee O'Mallry,Graphic Novel,12/15/2022,2008,,
26,2022,Life is Strange Volume 3: Strings,Emma Vieceli,Graphic Novel,12/30/2022,2019,,
1,2023,The Gunslinger,Stephen King,Audiobook,1/1/2023,1982,3,
2,2023,The Drawing of the Three,Stephen King,Audiobook,1/20/2023,1987,4,
3,2023,The Waste Lands,Stephen King,Audiobook,2/23/2023,1991,4,
4,2023,The Anthropocene Reviewed,John Green,Audiobook,4/13/2023,2021,4,
5,2023,Wizard and Glass,Stephen King,Audiobook,5/14/2023,1997,4,
6,2023,The Unstoppable Bridget Bloom,Allison Bitz,Audiobook ,6/1/2023,2023,,
7,2023,Wolves of the Calla,Stephen King,Audiobook,7/13/2023,2003,4,
8,2023,Happy Place,Emily Henry,Audiobook,7/23/2023,2023,3,
9,2023,Song of Susannah,Stephen King,Audiobook,8/25/2023,2004,3,
10,2023,"Tomorrow, and Tomorrow and Tomorrow ",Gabrielle Zevin,Audiobook,8/28/2023,2022,5,
11,2023,The Inheritance Games,Jennifer Lynn Barnes,Audiobook,9/17/2023,2020,3,
12,2023,How To Completely Lose Your Minds,Eric Stevenson & Elizabeth Jancewicz,Graphic Novel,10/12/2023,2023,5,
13,2023,The Dark Tower,Stephen King,Audiobook,11/26/2023,2004,5,
14,2023,Time of the Twins,Margaret Weis & Tracy Hickman,Audiobook,12/6/2023,1986,,X
1,2024,War of the Twins,Margaret Weis & Tracy Hickman,Audiobook,1/9/2024,1986,,X
2,2024,Sure I'll Join Your Cult,Maria Bamford,Audiobook,1/19/2024,2023,,
3,2024,Test of the Twins,Margaret Weis & Tracy Hickman,Audiobook,2/29/2024,1986,,X
4,2024,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Audiobook,3/17/2024,2017,4,
5,2024,Dragons of Summer Flame,Margaret Weis & Tracy Hickman,Audiobook,5/13/2024,1995,,X
6,2024,Funny Story,Emily Henry,Audiobook,5/27/2024,2024,,
7,2024,The Martian,Andy Weir,Audiobook,6/14/2024,2014,,
8,2024,The Hunger Games: The Ballad of Songbirds and Snakes,Suzanne Collins,Audiobook,8/8/2024,2020,,
9,2024,Slow Dance,Rainbow Rowell,Audiobook,8/15/2024,2024,,
10,2024,The Friend Zone,Abby Jimenez,Audiobook,8/25/2024,2019,,
11,2024,The Rom-Commers,Katherine Center,Audiobook,9/2/2024,2024,,
12,2024,Recursion,Blake Crouch,Audiobook,9/9/2024,2019,3,
13,2024,Intercepts,T.J. Payne,Audiobook,9/18/2024,2019,4,
14,2024,Crazy Rich Asians,Kevin Kwan,Audiobook,10/11/2024,2013,,
15,2024,Play Nice,Jason Schreier,Audiobook,10/17/2024,2024,4,
16,2024,The Last Days of Jack Sparks,Jason Arnopp,Audiobook,10/23/2024,2016,4,
17,2024,Annhilation,Jeff Vandermeer,Audiobook,10/27/2024,2014,,X
18,2024,Authority,Jeff Vandermeer,Audiobook,11/3/2024,2014,,X
19,2024,Our Wives Under The Sea,Julia Armfield,Audiobook,11/10/2024,2022,3,
20,2024,Carrie Soto Is Back,Taylor Jenkins Reid,Audiobook,12/8/2024,2022,4,
1,2025,After I Do,Taylor Jenkins Reid,Audiobook,2/27/2025,2014,4,
2,2025,Back After This,Linda Holmes,Audiobook,3/15/2025,2025,3,
3,2025,The Measure,Nikki Erlick,Audiobook,4/3/2025,2022,3,
4,2025,The Disaster Artist,Greg Sestero,Audiobook,4/19/2025,2013,4,
5,2025,Part of Your World,Abby Jimenez,Audiobook,4/27/2025,2022,4,
6,2025,First-Time Caller,B.K. Borison,Audiobook,5/12/2025,2025,2,
7,2025,Locke & Key Vol 1: Welcome to Lovecraft,Joe Hill,Graphic Novel,5/30/2025,2008,,X
8,2025,Malbu Rising,Taylor Jenkins Reid,Audiobook,6/23/2025,2021,,
9,2025,Great Big Beautiful Life,Emily Henry,Audiobook,7/17/2025,2025,,
10,2025,Saul Goodman v. Jimmy McGill: The Complete Critical Companion ,Alan Sepinwall,Audiobook,7/31/2025,2025,,
11,2025,Yours Truly,Abby Jimenez,Audiobook,8/17/2025,2023,,
12,2025,Forever Interrupted ,Taylor Jenkins Reid,Audiobook,9/5/2025,2013,,
13,2025,Bunny,Mona Awad,Audiobook,9/9/2025,2019,,
14,2025,Atmosphere,Taylor Jenkins Reid ,Audiobook,9/16/2025,2025,,
15,2025,Annie Bot,Sophia Greer,Audiobook,9/25/2025,2024,,
16,2025,As You Wish: Inconceivable Stories from The Princess Bride,Cary Elwes,Audiobook,10/12/2025,2014,,
17,2025,Dungeon Crawler Carl,Matt Dinniman,Audiobook,10/19/2025,2020,,
18,2025,Carl's Doomsday Scenario,Matt Dinniman,Audiobook,11/7/2025,2021,,
19,2025,If it Makes You Happy,Julie Olivia,Audiobook,12/14/2025,2025,3,
1,2026,King Sorrow,Joe Hill,Audiobook,2/9/2026,2025,,
2,2026,Easy Money,Ben Mackenzie & Jacob Silverman,Audiobook,4/19/2026,2023,,
3,2026,Cherry Baby,Rainbow Rowell,,4/25/2026,,3.75,
4,2026,Thank You For Listening,Julia Whelan,,5/7/2026,,3.75,
5,2026,Super Nintendo,Keza Macdonald,,5/18/2026,,,
6,2026,Now Is Not The Time To Panic,Kevin Wilson,,5/24/2026,,4,
