Count,YearCount,Year,Production Title,Location,Date Watched,Original Year of Release
1,1,2022,Dear Evan Hansen,Orpheum,1/2/22,2016
2,2,2022,Fiddler on the Roof,Orpheum,2/13/22,1964
3,3,2022,Mean Girls,Orpheum,3/13/22,2017
4,4,2022,Hadestown,Orpheum,4/3/22,2019
5,5,2022,Wicked,Orpheum,4/27/22,2003
6,6,2022,King of Kong: The Musical,Benson Theater,8/3/22,2015
7,7,2022,Ain't Too Proud to Beg: The Life and Times of the Temptations,Orpheum,10/18/22,2019
8,8,2022,Annie,Orpheum,11/8/22,1977
9,1,2023,Six The Musical,Orpheum,1/3/23,2021
10,2,2023,To Kill a Mockingbird,Orpheum,2/7/23,2018
11,3,2023,The Book of Mormon,Lied Center,3/25/23,2011
12,4,2023,Frozen,Orpheum,4/25/23,2017
13,5,2023,Hairspray,Orpheum,6/6/23,2002
14,6,2023,Hamilton ,Lied Center,8/5/23,2015
15,7,2023,My Fair Lady,Orpheum,11/28/23,1956
16,8,2023,Waitress: The Musical (filmed),Marcus Majestic,12/8/23,2015
17,1,2024,Mamma Mia!,Orpheum,1/9/24,2001
18,2,2024,Beetlejuice,Orpheum,1/30/24,2018
19,3,2024,The Lion King,Orpheum,3/5/24,1997
20,4,2024,Freaky Friday,Wahoo High School,4/7/24,2016
21,5,2024,Pretty Woman,Orpheum,4/16/24,2018
22,6,2024,Moulin Rouge,Orpheum,5/28/24,2018
23,7,2024,Illinoise,St. James Theater,7/10/24,2024
24,8,2024,Funny Girl,Orpheum,11/15/24,1964
25,1,2025,Clue,Orpheum,1/7/25,2017
26,2,2025,Kimberly Akimbo,Orpheum,2/14/25,2022
27,3,2025,Some Like It Hot,Orpheum,3/25/25,2022
28,4,2025,Hamilton ,Orpheum,5/23/25,2015
29,5,2025,The Outsiders,Orpheum,9/30/25,2024
30,6,2025,The Wiz,Orpheum,11/18/25,2024
31,7,2025,The Notebook,Orpheum,12/9/25,2024
32,1,2026,Shucked,Orpheum,1/13/26,2023
33,2,2026,& Juliet,Orpheum,3/3/26,2022
